FID;CODIGO;CAPACIDAD_NOMINAL;FASES;COOR_GPS_LON;COOR_GPS_LAT;MUNICIPIO;UBICACION;CIRCUITO;PROPIETARIO_1;EQUIPO_PADRE;FID_EQUIPO_PADRE
30720664;ARRP0500;20;RST;-75,73595759;4,535171925;ARMENIA;VR PANTANILLO FC BRASIL;114-24-;PARTICULAR;S-234;30720542
30720666;ARUQ1964;150;RST;-75,71326971;4,533492931;ARMENIA;BA LAS COLINAS MZ 1 SEC 1 CS 2;114-24-;EDEQ;S-1709;30720524
30720667;ARUP1772;75;RST;-75,71285801;4,527747774;ARMENIA;MERCAR BLQ  C CALLE 30 CRA 72;114-24-;PARTICULAR;S-2502;37155405
30736425;CARP0648;225;RST;-75,66459625;4,528631157;CALARCÁ;VR LA MARIA BODEGA 17;109-29-;PARTICULAR;S-924;39580094
30736426;CARP0740;225;RST;-75,66454747;4,527313877;CALARCÁ;VR LA MARIA TENERIA 28 LT 2;109-29-;PARTICULAR;S-924;39580094
30736427;ARUN2359;630;RST;-75,66131606;4,540284989;ARMENIA;AV. CENTENARIO HOME CENTER;208-28-;PARTICULAR;C-0678;39966789
30736431;ARUN2535;112,5;RST;-75,65750459;4,543488604;ARMENIA;BELMONTE PLAZA TORRE 4;208-28-;EDEQ;S-2159;30736398
30736433;ARUN2379;225;RST;-75,67044951;4,533007316;ARMENIA;CRA 12 17 01 EST DE SERVICIO GAS;109-29-;PARTICULAR;C-0138;30736385
30736435;ARUN2570;75;RST;-75,65968007;4,541230098;ARMENIA;AV. CENTENARIO MOVILIDAD ELÉCTRICA CC CALIMA;208-28-;EDEQ;C-0678;39966789
30736439;ARUQ1002;45;RST;-75,66658825;4,53637725;ARMENIA;CL 10 11 06 ESQ;109-29-;EDEQ;C-0061;30736384
30736440;ARUQ1124;150;RST;-75,67236925;4,531129755;ARMENIA;CR 12 20 63 PALACIO JUSTICIA CAMARA;109-29-;EDEQ;C-0138;30736385
30736444;ARUN2459;75;RST;-75,66189316;4,537700579;ARMENIA;LA CRÓNICA CRA 6 CALLE 6;208-28-;EDEQ;C-0678;39966789
30736445;ARUP2300;75;RST;-75,66062087;4,539228608;ARMENIA;LOTE 2 NAPOLES CRA 6 CALLE 4;208-28-;PARTICULAR;S-1860;30736391
